date/location,latitude,longitude,region
"19-Oct,The VA XC Showcase,Mechanicsville, VA,8996 Pole Green Park Ln, Mechanicsville, VA 23116",37.64369,-77.30645,US
"19-Oct,Third Battle Invitational,Winchester, VA,541 Redbud Road, Winchester, VA 22603",45.09029,-75.35536,US
"10/25 - 10/26,Mt. SAC Invitational,Walnut, CA,1100 N Grand Ave, Walnut, CA 91789",34.047457,-117.843202,US
"26-Oct,Suburban Council Championships,Saratoga Springs, NY,19 Roosevelt Dr, Saratoga Springs, NY 12866",43.0573,-73.80138,US
"31-Oct,MHSAA 1A-2A-3A State Championships,Clinton, MS,5992 McRaven Rd, Jackson, MS 39209",32.29896,-90.29888,US
"11/1 - 11/2,UIL State Championship,Round Rock, TX,3300 E Palm Valley Blvd, Round Rock, TX 78665",30.5178,-97.68346,US
"2-Nov,2A Colorado State Championships,Colorado Springs, CO,1045 Lower Gold Camp Road, Colorado Springs, CO 80905",38.82151,-104.84971,US
"2-Nov,KHSAA State Championships,Lexington, KY,4089 Iron Works Pkwy, Lexington, KY 40511",38.14364,-84.51952,US
"2-Nov,NCHSAA State Championship,Kernersville, NC,788 Beeson Rd, Kernersville, NC 27284",36.09078,-80.07829,US
"2-Nov,NJSIAA Sectionals - Central,Jamesburg, NJ,Forsgate Drive, Jamesburg, NJ 0",40.34652,-74.44182,US
"2-Nov,NJSIAA Sectionals - North 1,Woodland Park, NJ,8 Mountain Ave, Woodland Park, NJ 07424",40.90233,-74.18186,US
"2-Nov,NJSIAA Sectionals - North 2,Morris Plains, NJ,91 Central Ave, Morris Plains, NJ 7950",40.83318,-74.50272,US
"2-Nov,NJSIAA Sectionals - South,Logan Township, NJ,400 US-130, Logan Township, NJ 8085",40.99836,-77.40708,US
"11/7 - 11/8,Arkansas State Championships,Hot Springs, AR,2705 Central Ave, Hot Springs, AR 71901",34.48402,-93.05917,US
"7-Nov,VISAA State Championships,Earlysville, VA,300 Panorama Road, Earlysville, VA 22936",38.12347,-78.48802,US
"11/8 - 11/9,GHSA State Championships,Carrollton, GA,202 Trojan Drive, Carrollton, GA, 30117",33.56779,-85.07862,US
"9-Nov,Section 2 Championships,Queensbury, NY,409 Aviation Rd, Queensbury, NY 12804",43.32919,-73.69196,US
"16-Nov,Fleet Feet Dash for Doobie,Pfafftown , NC,3750 Transou Rd., Pfafftown, NC 27040",36.17021,-80.36498,US
"16-Nov,Lloyd White Memorial Distance Festival,Louisville, KY,2001 Newburg Rd, Louisville, KY 40205",38.21895,-85.70905,US
"7-Dec,Bermuda XC Challenge,Devonshire, BM,169 South Rd, Devonshire, Bermuda",32.32331,-64.72971,BM
"7-Dec,RunningLane Championships,Huntsville, AL,2151 Airport Rd SW, Huntsville, AL 35801",34.68631,-86.58687,US
